 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        etth11      etth22      etth33
  0.3318E-01 -0.1523E-01 -0.1628E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8362E+03 -0.6447E-03  0.1153E-01  0.1905E+02  0.7450E+01 -0.6218E+01     0.3959E-02 -0.1080E-02 -0.1209E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3369E-01 -0.1547E-01 -0.1654E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8389E+03 -0.8376E-03  0.1155E-01  0.1915E+02  0.7400E+01 -0.6229E+01     0.3972E-02 -0.1083E-02 -0.1212E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3420E-01 -0.1571E-01 -0.1681E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8416E+03 -0.3945E-03  0.1124E-01  0.1926E+02  0.7346E+01 -0.6231E+01     0.3984E-02 -0.1087E-02 -0.1216E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3471E-01 -0.1595E-01 -0.1707E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8442E+03 -0.8083E-03  0.1157E-01  0.1935E+02  0.7298E+01 -0.6216E+01     0.3997E-02 -0.1090E-02 -0.1220E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3522E-01 -0.1619E-01 -0.1733E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8469E+03 -0.6559E-03  0.1140E-01  0.1943E+02  0.7238E+01 -0.6196E+01     0.4009E-02 -0.1094E-02 -0.1224E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3573E-01 -0.1643E-01 -0.1760E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8495E+03 -0.2679E-03  0.1117E-01  0.1951E+02  0.7186E+01 -0.6175E+01     0.4022E-02 -0.1097E-02 -0.1228E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3625E-01 -0.1667E-01 -0.1786E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8520E+03 -0.3618E-03  0.1131E-01  0.1958E+02  0.7123E+01 -0.6157E+01     0.4034E-02 -0.1100E-02 -0.1232E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3676E-01 -0.1691E-01 -0.1813E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8546E+03 -0.8764E-03  0.1182E-01  0.1966E+02  0.7067E+01 -0.6144E+01     0.4046E-02 -0.1103E-02 -0.1235E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3727E-01 -0.1715E-01 -0.1839E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8571E+03 -0.9130E-03  0.1195E-01  0.1975E+02  0.7011E+01 -0.6132E+01     0.4058E-02 -0.1107E-02 -0.1239E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3778E-01 -0.1739E-01 -0.1866E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8596E+03 -0.9587E-03  0.1204E-01  0.1983E+02  0.6963E+01 -0.6114E+01     0.4070E-02 -0.1110E-02 -0.1242E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3829E-01 -0.1763E-01 -0.1892E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8621E+03 -0.1006E-02  0.1213E-01  0.1990E+02  0.6900E+01 -0.6094E+01     0.4082E-02 -0.1113E-02 -0.1246E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3880E-01 -0.1787E-01 -0.1919E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8646E+03 -0.1243E-02  0.1235E-01  0.1998E+02  0.6840E+01 -0.6084E+01     0.4093E-02 -0.1116E-02 -0.1250E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3931E-01 -0.1811E-01 -0.1946E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8671E+03 -0.1281E-02  0.1244E-01  0.2005E+02  0.6789E+01 -0.6077E+01     0.4105E-02 -0.1120E-02 -0.1253E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.3982E-01 -0.1835E-01 -0.1972E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.8695E+03 -0.1423E-02  0.1272E-01  0.2013E+02  0.6743E+01 -0.6076E+01     0.4117E-02 -0.1123E-02 -0.1257E-02     0.0000E+00  0.0000E+00  0.0000E+00
