 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
           Ctrl            EP1            EP2            EP3           SIG1           SIG2           SIG3          MODE1          MODE2          ActAv         PMODE1         PMODE2         PActAv         CMODE1         CMODE2         CActAv         nGrain       MaxTwins
        0.04901        0.04901       -0.02263       -0.02455      910.11119       -0.00238        0.01428        0.33114        0.66886        5.52312        0.35241        0.64759        5.36006        0.33802        0.66198        4.27672      282.00000        0.00000
        0.04952        0.04952       -0.02287       -0.02482      912.16555       -0.00244        0.01437        0.33121        0.66879        5.52585        0.35241        0.64759        5.36327        0.33814        0.66186        4.27756      282.00000        0.00000
        0.05003        0.05003       -0.02310       -0.02509      914.19436       -0.00241        0.01441        0.33129        0.66871        5.52897        0.35256        0.64744        5.35855        0.33808        0.66192        4.29581      282.00000        0.00000
        0.05054        0.05054       -0.02333       -0.02536      916.19625       -0.00245        0.01448        0.33125        0.66875        5.52397        0.35252        0.64748        5.35007        0.33820        0.66180        4.29610      282.00000        0.00000
        0.05105        0.05105       -0.02357       -0.02564      918.17310       -0.00246        0.01460        0.33163        0.66837        5.52635        0.35300        0.64700        5.37627        0.33992        0.66008        4.28638      282.00000        0.00000
        0.05156        0.05156       -0.02380       -0.02591      920.12908       -0.00276        0.01510        0.33172        0.66828        5.50585        0.35315        0.64685        5.35249        0.34149        0.65851        4.28570      282.00000        0.00000
        0.05207        0.05207       -0.02404       -0.02618      922.07166       -0.00290        0.01525        0.33000        0.67000        5.49931        0.35049        0.64951        5.35548        0.34155        0.65845        4.27057      282.00000        0.00000
        0.05258        0.05258       -0.02427       -0.02645      923.98971       -0.00296        0.01530        0.33025        0.66975        5.49495        0.35059        0.64941        5.33515        0.34187        0.65813        4.27976      282.00000        0.00000
        0.05309        0.05309       -0.02450       -0.02673      925.89572       -0.00281        0.01513        0.33116        0.66884        5.47931        0.35193        0.64807        5.34049        0.34192        0.65808        4.26436      282.00000        0.00000
        0.05360        0.05360       -0.02474       -0.02700      927.77659       -0.00286        0.01516        0.33151        0.66849        5.51680        0.35217        0.64783        5.35772        0.34221        0.65779        4.29430      282.00000        0.00000
        0.05411        0.05411       -0.02497       -0.02727      929.62898       -0.00264        0.01504        0.33137        0.66863        5.54044        0.35181        0.64819        5.37762        0.34291        0.65709        4.31269      282.00000        0.00000
